id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
246	4	2	4	1	2	1	2	5	4	4	4	4	3	4	4	5	5	2	5	3	5	2	3	5	21	N	162	36	O	O	W	13	3	EOS	T	T	S	2-4
247	3	1	2	1	1	1	3	5	5	4	2	5	5	5	1	5	4	2	4	4	3	3	4	4	27	N	178	39	O	O	M	9	4	6	T	S	N	30
248	4	1	3	2	1	1	4	5	4	5	3	2	5	5	4	5	5	5	5	5	5	4	4	5	20	N	163	39	O	O	W	13	4	4	T	H	S	0-16
249	4	1	2	2	1	2	3	4	3	5	3	2	3	3	2	5	3	4	4	5	2	4	3	5	23	N	NA	NA	O	O	W	10	2	0-5	E	NA	NA	NA
250	3	2	2	1	1	2	2	4	4	3	3	3	4	2	1	5	4	2	4	5	3	5	1	5	29	N	174	40	O	O	W	8	2	6	T	S	N	15-20
251	3	1	2	1	1	1	NA	5	4	4	5	2	4	5	1	5	5	4	5	4	3	2	4	3	26	N	176	39	O	O	M	7	2	6+4(L)	E	S	NA	NA
252	3	1	2	2	1	2	3	5	5	3	4	2	4	4	4	5	5	5	5	2	4	1	4	5	21	N	168	39	V	O	W	11	6	2-3	T	H	N	15
253	4	1	3	2	1	1	1	5	2	3	2	5	5	1	1	3	5	1	4	5	3	4	1	2	45	N	168	38	O	O	W	92	1	12	T	H	NA	37.5
254	4	1	1	1	1	2	4	5	2	3	4	2	4	5	2	5	5	1	4	3	4	3	2	5	28	M	184	44	O	O	W	14	7	10	E	NA	NA	NA
255	3	1	2	2	1	1	4	5	5	4	4	3	4	4	2	4	4	5	4	4	3	3	4	4	53	N	173	41	O	O	W	79	2	4	T	NA	N	20
256	2	1	1	1	1	2	2	5	5	2	5	2	5	5	1	4	4	1	5	5	4	5	2	5	48	N	158	36	O	O	W	11	5	9	T	H	N	36.5
257	2	2	1	1	1	2	2	5	3	2	3	4	5	4	4	4	5	4	5	3	5	2	4	5	20	M	173	47	O	O	W	14	3	3	E	NA	NA	NA
258	4	1	1	1	1	1	2	5	4	4	5	3	5	4	3	5	4	4	4	4	3	1	4	5	26	N	157	36	O	O	M	14	5	6	E	NA	NA	NA
259	2	1	3	1	1	1	3	4	4	2	5	2	4	3	2	4	2	1	2	5	1	4	2	2	22	N	162	37	O	O	W	14	3	4	T	H	N	15
260	5	2	2	2	2	1	3	5	3	3	4	2	5	3	4	4	4	2	4	4	3	1	5	4	20	N	179	42	O	O	W	13	5	5	T	H	S	0-25
261	2	2	2	1	1	1	3	4	4	5	5	3	3	4	2	3	4	2	3	5	2	4	1	3	24	M	172	41	O	O	W	14	4	3-4	T	S	N	11-13
262	5	2	2	2	2	1	2	4	4	3	3	3	4	3	2	3	4	3	4	2	5	1	3	3	49	M	187	44	O	O	W	93	3	5	T	T	N	40
