id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
129	3	1	3	1	1	1	4	5	4	4	4	3	3	4	2	5	4	3	4	4	3	4	2	4	22	N	160	37	V	O	W	14	5	3	E	NA	NA	NA
130	3	5	3	2	5	5	4	4	4	2	4	3	3	4	2	4	4	1	4	5	3	5	2	4	23	M	174	41	O	O	M	14	3	5	T	H	S	10
131	3	4	4	5	5	5	4	5	3	3	4	3	3	4	1	3	2	1	2	5	1	5	1	3	20	N	165	39	V	O	M	14	4	NA	E	NA	NA	NA
132	4	3	2	2	1	2	3	5	4	4	4	4	4	4	3	4	5	5	5	2	4	1	4	4	21	N	160	37	O	O	W	11	5	8	T	S	S	4
133	3	1	4	2	1	3	3	4	5	4	5	1	5	4	1	2	1	1	1	1	1	5	1	3	21	N	165	37	O	O	M	12	7	4	E	NA	NA	NA
134	4	2	3	2	1	2	3	5	4	3	3	5	5	3	2	3	4	4	4	3	4	1	2	5	24	NA	161	37	O	O	L	14	5	2	E	H	NA	NA
135	4	2	4	2	3	2	4	4	3	3	4	4	4	4	2	4	3	2	3	4	3	4	2	4	20	N	167	38	O	O	M	14	4	4	E	H	NA	NA
136	4	1	2	1	1	1	5	4	4	3	5	3	3	4	2	5	5	5	5	4	3	3	4	5	34	N	157	37	O	O	M	99	7	2-3	E	H	NA	NA
137	3	1	2	1	1	2	3	4	4	5	4	3	4	4	1	3	2	2	2	5	1	1	1	4	19	N	181	41	O	E	NA	14	4	4	T	H	S	8
138	5	3	2	1	1	2	2	4	4	3	4	3	4	3	1	4	4	1	4	5	2	5	1	5	22	N	175	40	O	O	M	14	5	3-6	E	NA	NA	NA
139	4	2	1	1	1	1	2	5	5	1	5	3	4	2	1	5	4	3	3	5	2	5	1	5	21	N	180	41	O	O	M	14	6	2	T	S	N	8
140	2	2	2	1	1	2	2	4	3	3	4	3	4	4	2	4	3	4	3	3	2	1	3	4	20	M	184	44	O	O	M	14	4	4	T	H	S	8-24
141	3	1	1	1	1	1	3	5	5	3	4	4	4	5	3	5	5	2	5	3	4	1	2	5	27	N	172	40	O	O	L	12	1	15	T	T	N	37.5
142	4	2	1	2	1	2	5	5	5	5	5	4	5	4	4	5	5	5	4	2	3	1	5	5	20	M	182	44	V	O	W	14	6	2	T	S	S	10
